"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20130509009969I","09-MAY-13","KOTZEBUE","AK","RALPH WIEN MEMORIAL","INCIDENT","SUBSTANTIAL","GROUND-RAMP","PIPER","PA-18","PA-18-150","","","GENERAL OPERATING RULES","","7874D","0","0","LYCOMI","0-320 SERIES","","","COMMERCIAL PILOT","4000","4000","",""
"20130516008089I","16-MAY-13","ALBUQUERQUE","NM","ALBUQUERQUE INTL SUNPORT","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","NAVAL","N-3N","N-3N-3","","","GENERAL OPERATING RULES","","44873","0","0","P&W","R-985 SERIES","","","COMMERCIAL PILOT","4000","15","26",""
"20130525007769I","25-MAY-13","HEMET","CA","HEMET-RYAN","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-177","CE-177-RG","","","GENERAL OPERATING RULES","","8064G","0","0","LYCOMI","IO-360-A1B6D","","1","AIRLINE TRANSPORT","4000","82","19",""
"20130729014999I","29-JUL-13","BEAMAN","IA","","INCIDENT","MINOR","OTHER-SPECIFY","BELL","BHT-47","BHT-47-G4A","HARMER, TIMOTHY F","","AGRICULTURAL","","1396X","0","0","LYCOMI","VO-540 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4000","1500","30",""
"20130904016079I","04-SEP-13","GREENVILLE","SC","GREENVILLE DOWNTOWN","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-58","","","","GENERAL OPERATING RULES","","81CL","0","0","CONT M","IO 520 SERIES","","2","COMMERCIAL PILOT","4000","180","10",""
"20140504007049I","04-MAY-14","CHESTER","SC","CHESTER CATAWBA RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","CE-208","CE-208-B","","","PARACHUTE JUMPING","","1114A","1","0","P&W","PT6A SER","","1","COMMERCIAL PILOT","4000","2000","300",""
"20141022018899I","22-OCT-14","WINTER HAVEN","FL","WINTER HAVEN'S GILBERT","INCIDENT","MINOR","TAKEOFF: DEPARTURE","GLASAIR","","","","","GENERAL OPERATING RULES","","376PG","0","0","LYCOMI","TIO-540","AE2A","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4000","200","20",""
"20141124023869I","24-NOV-14","OCEANO","CA","OCEANO COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-36","BE-36-A36","","","GENERAL OPERATING RULES","","8169Y","0","0","CONT M","IO-550 SERIES","","1","PRIVATE PILOT","4000","3500","",""
"20141127021589I","27-NOV-14","","NC","HURLBURT FIELD","INCIDENT","NONE","DESCENT","STOLAC","UC-1","","","","GENERAL OPERATING RULES","","9503U","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4000","30","30",""
"20150215003529I","15-FEB-15","CHINO","CA","CHINO","INCIDENT","NONE","TAKEOFF: CLIMB OUT","BEECH","BE-35","BE-35-V35B","","","GENERAL OPERATING RULES","","27DH","0","0","CONT M","IO 520 SERIES","B","1","COMMERCIAL PILOT","4000","3000","15",""
"20150306002179I","06-MAR-15","INDIANAPOLIS","IN","EAGLE CREEK AIRPARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-32","PA-32-R301","","","GENERAL OPERATING RULES","","9165N","0","0","LYCOMI","IO-540 SER","","","COMMERCIAL PILOT","4000","","15",""
"20150611020269I","11-JUN-15","BOWDON","GA","","INCIDENT","MINOR","TAXI","BEECH","BE-35","BE-35-V35A","","","GENERAL OPERATING RULES","","7016N","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","4000","70","12",""
"20150615013469I","15-JUN-15","CHESWOLD","DE","DELAWARE AIRPARK","INCIDENT","MINOR","TAXI","PIPER","PA-34","PA-34-220T","","","GENERAL OPERATING RULES","","8375N","0","0","CONT M","TSIO-360 SER","KB","","PRIVATE PILOT","4000","2000","15",""
"20150903020299I","03-SEP-15","WAYCROSS","GA","WAYCROSS-WARE COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","CE-310","CE-310-P","","","GENERAL OPERATING RULES","","69HS","0","0","CONT M","IO-470 SER","","2","PRIVATE PILOT","4000","","",""
"20151220020489I","20-DEC-15","FORT MYERS","FL","PAGE FIELD","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","MOONEY","M-20","M-20-C","","","GENERAL OPERATING RULES","","9291V","0","0","LYCOMI","O-360","A1D","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4000","25","25",""
"20160201002949I","01-FEB-16","DERIDDER","LA","BEAUREGARD RGNL","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","CESSNA","CE-320","CE-320-E","","","GENERAL OPERATING RULES","","320CC","0","0","CONT M","IO 520 SERIES","","2","COMMERCIAL PILOT","4000","350","60",""
"20160505017659I","05-MAY-16","FORT WORTH","TX","FORT WORTH MEACHAM INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-172","CE-172-RG","","","GENERAL OPERATING RULES","","5097V","0","0","LYCOMI","O&VO-360 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4000","1800","60",""
"20160507025079I","07-MAY-16","YUCCA VALLEY","CA","YUCCA VALLEY","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BEECH","BE-23","BE-23-C23","","","GENERAL OPERATING RULES","","6566R","0","0","LYCOMI","O&VO-360 SER","","1","STUDENT","4000","45","35",""
"20160612006929I","12-JUN-16","PETERSBURG","WV","GRANT COUNTY","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","GLOBE","GC-1","GC-1-B","","","GENERAL OPERATING RULES","","80665","0","0","CONT M","IO-360 SER","62391-","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4000","2000","25",""
"20160614015349I","14-JUN-16","PORT LAVACA","TX","CALHOUN COUNTY","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","ACMNDR","ACMNDR-100","ACMNDR-100-180","PILOT SERVICES LLC","","GENERAL OPERATING RULES","","3718X","0","0","LYCOMI","O-360 SER","A2F","","PRIVATE PILOT","4000","446","14",""
"20160707011829I","07-JUL-16","ABILENE","TX","ABILENE RGNL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","CE-177","CE-177-RG","","","GENERAL OPERATING RULES","","2759V","0","0","LYCOMI","IO-360-A1B6D","360","1","PRIVATE PILOT FLIGHT INSTRUCTOR","4000","600","120",""
"20160721012489I","21-JUL-16","RIVERDALE","CA","","INCIDENT","MINOR","MANEUVER","GRUMAN","G-164","G-164-A","HUGHES, BRIAN D","","AGRICULTURAL","","9926","0","0","P&W","R1340 SERIES","","","COMMERCIAL PILOT","4000","3000","250",""
"20161103017989I","03-NOV-16","SARASOTA","FL","SARASOTA/BRADENTON INTL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA-34","PA-34-200T","","","PILOT SCHOOLS","","865SC","0","0","CONT M","TSIO-360 SER","","","","4000","300","100",""
"20170102005789I","02-JAN-17","KOBUK","AK","KOBUK","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA-31","PA-31-350","HAGELAND AVIATION SERVICES INC","","AIR TAXI/COMMUTER","","3516A","0","0","LYCOMI","TI0-540 SER","","","AIRLINE TRANSPORT","4000","","",""
"20170301002619I","01-MAR-17","MORRIS","OK","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA-32","PA-32-300","","","GENERAL OPERATING RULES","","5247F","0","0","LYCOMI","TI0-540 SER","","","PRIVATE PILOT","4000","20","60",""
"20170408006449I","08-APR-17","","FL","SOUTH LAKELAND","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","751TA","0","0","BMW-V1","M-73","N/A","","COMMERCIAL PILOT","4000","1200","",""
"20170831017499I","31-AUG-17","KISSIMMEE","FL","KISSIMMEE GATEWAY","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA-31","PA-31-350","","","GENERAL OPERATING RULES","","619PR","0","0","","","","","PRIVATE PILOT","4000","50","30",""
"20170924019829I","24-SEP-17","SKWENTNA","AK","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CESSNA","CE-180","","","","GENERAL OPERATING RULES","","1755C","0","0","CONT M","O-470","K","1","PRIVATE PILOT","4000","","",""
"20171030020469I","30-OCT-17","LITTLE ROCK","AR","ADAMS FIELD","INCIDENT","MINOR","LANDING: APPROACH","BEECH","BE-33","BE-33-F33A","","","GENERAL OPERATING RULES","","7BY","0","1","CONT M","FSO-526","","1","AIRLINE TRANSPORT","4000","","",""
"20171212023009I","12-DEC-17","FORT MYERS","FL","PAGE FIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","ROBSIN","R-44","","","","GENERAL OPERATING RULES","","529DW","0","0","LYCOMI","O-540-F1B5","N/A","1","AIRLINE TRANSPORT","4000","800","20",""
"20180604007089I","04-JUN-18","VAN NUYS","CA","VAN NUYS","INCIDENT","MINOR","LANDING: ROLLOUT","HONDA","","","","","GENERAL OPERATING RULES","","420DT","0","0","GE HON","HF-120","","","PRIVATE PILOT","4000","110","110",""
"20110928023819I","28-SEP-11","SAINT CLAIR","MO","ST CLAIR RGNL","INCIDENT","NONE","HOVER-HOLDING","BELL","BHT-206","","AIR EVAC EMS INC","","GENERAL OPERATING RULES","","61AE","0","0","","","","","COMMERCIAL PILOT","4002","1609","18",""
"20130518008209I","18-MAY-13","PLYMOUTH","CT","","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","","","","","","GENERAL OPERATING RULES","","2070T","0","0","ROTAX","582","N/A","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4002","70","6",""
"20140222002789I","22-FEB-14","CARLSBAD","CA","MC CLELLAN-PALOMAR","INCIDENT","MINOR","LANDING: ROLLOUT","WACO","WACO-YMF","WACO-YMF-F5C","","","GENERAL OPERATING RULES","","171L","0","0","JACOBS","R-755A2M","","","PRIVATE PILOT","4002","130","75",""
"20131008024009I","08-OCT-13","ORLANDO","FL","EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-182","CE-182-T","","","GENERAL OPERATING RULES","","510SL","0","0","LYCOMI","IO-540-AB1A5","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","4003","60","150",""
"20100903045771I","03-SEP-10","MINNEAPOLIS","MN","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","INCIDENT","MINOR","GROUND-RAMP","CANADAIR-BOMBARDIER","CHALLENGER","600","PINNACLE AIRLINES INC","","AIR CARRIER/COMMERCIAL","","8932C","0","0","GE","CF34-3B1","","","AIRLINE TRANSPORT","4010","4010","240",""
"20131015019869I","15-OCT-13","BERLIN","MD","OCEAN CITY MUNI","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA-32","PA-32-301","","","GENERAL OPERATING RULES","","82DF","0","0","LYCOMI","IO-540-K1G5","","","COMMERCIAL PILOT","4010","30","50",""
"20140123000699I","23-JAN-14","SOUTH BEND","IN","SOUTH BEND","INCIDENT","NONE","TAXI","CESSNA","CE-441","","","","GENERAL OPERATING RULES","","108TJ","0","0","AIRESE","331 SER 605HP","","2","AIRLINE TRANSPORT","4015","308","75",""
"20140513006719I","13-MAY-14","SUGAR LAND","TX","SUGAR LAND RGNL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","RAYTHEON","BEECHJET 400","400-400A","CRITICAL CARE MEDFLIGHT INC","","GENERAL OPERATING RULES","","412GJ","0","0","P&W CA","JT15D-5","N/A","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4015","795","80",""
"20101124052289I","24-NOV-10","DALHART","TX","DALHART MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA-15","","","","GENERAL OPERATING RULES","","4123H","0","0","CONT M","C145 SERIES","","","COMMERCIAL PILOT","4025","4000","25",""
"20090310004199I","10-MAR-09","NORFOLK","VA","CHESAPEAKE RGNL","INCIDENT","MINOR","LANDING","BLANCA","BL-7","BL-7-KCAB","","","GENERAL OPERATING RULES","UNKNOWN","11702","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4029","1500","85",""
"20120507010349I","07-MAY-12","MIDLAND","MI","JACK BARSTOW","INCIDENT","MINOR","HOVER-HOLDING","SIKORSKI","","","","","GENERAL OPERATING RULES","","9329R","0","0","","","","","COMMERCIAL PILOT","4031","5","65",""
"20150117000859I","17-JAN-15","GREENVILLE","SC","PALMETTO","INCIDENT","MINOR","LANDING: TOUCHDOWN","BELL","BHT-407","","MED-TRANS CORPORATION","","AIR TAXI/COMMUTER","","407CR","0","0","ALLISO","250-C47","","1","COMMERCIAL PILOT","4032","866","18",""
"20150404003429I","04-APR-15","","MI","MACKINAC ISLAND","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M-20","M-20-K","","","GENERAL OPERATING RULES","","706GP","0","0","CONT M","TSIO-360 SER","","1","PRIVATE PILOT","4035","3405","10",""
"20170327023569I","27-MAR-17","THERMAL","CA","JACQUELINE COCHRAN RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","","","","","GENERAL OPERATING RULES","","307JT","0","0","P&W CA","PT6A-42A","UNKNOW","","PRIVATE PILOT","4036","1007","49",""
"20180502004479I","02-MAY-18","BELEN","NM","ALEXANDER MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","LANCAIR","SUPER ES","","","","GENERAL OPERATING RULES","","33KT","0","0","CONT M","TSIO-550 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4040","391","30",""
"20180526005959I","26-MAY-18","PENSACOLA","FL","FERGUSON","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-65","BE-65-A90","","","GENERAL OPERATING RULES","","2000E","0","0","U/A CA","PT6 SER 578HP","","","COMMERCIAL PILOT","4041","700","136",""
"20101001048629I","01-OCT-10","PAGE","AZ","PAGE MUNI","INCIDENT","MINOR","TAXI","CESSNA","CE-414","CE-414-A","","","GENERAL OPERATING RULES","","9781S","0","0","CONT M","TSIO-520 SER","","2","COMMERCIAL PILOT","4044","528","37",""
"20150922019189I","22-SEP-15","HESPERIA","CA","HESPERIA","INCIDENT","MINOR","UNKNOWN","BELL","BHT-412","","","","GENERAL OPERATING RULES","","405LN","0","0","P & W","PT6T-3B","","2","COMMERCIAL PILOT","4044","515","6",""
"20081005857209I","05-OCT-08","BATON ROUGE","LA","BATON ROUGE METROPOLITAN, RYAN FIELD","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CANADAIR-BOMBARDIER","CHALLENGER","600","CHAUTAUQUA AIRLINES INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","648BR","0","0","","","","2","AIRLINE TRANSPORT","4049","1245","221",""
"20080916845439I","16-SEP-08","CHINO","CA","CHINO","INCIDENT","MINOR","IN TRAFFIC PATTERN-CIRCLING","ROBSIN","R-22","R-22-BETA","","","GENERAL OPERATING RULES","UNKNOWN","796SH","0","0","LYC","O360J2A","O360","1","","4050","3500","60",""
"20110827019019I","27-AUG-11","TOK","AK","TOK","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA-18","PA-18-150","40 MILE AIR LTD","","AIR TAXI/COMMUTER","","8597D","0","0","LYCOMI","0-320 SERIES","","","COMMERCIAL PILOT","4050","1793","118",""
"20130523009739I","23-MAY-13","VICTORVILLE","CA","SOUTHERN CALIFORNIA LOGISTICS","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-210","CE-210-M","","","GENERAL OPERATING RULES","","1312M","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","4050","1844","175",""
"20170921016719I","21-SEP-17","MC BAIN","MI","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","CE-172","CE-172-C","","","GENERAL OPERATING RULES","","1416Y","0","0","CONT M","0-300 SER","","1","","4050","250","30",""
"20080526847159I","26-MAY-08","MADISON","WI","DANE COUNTY RGNL-TRUAX FIELD","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","SOCATA","TBM-700","","","","GENERAL OPERATING RULES","UNKNOWN","700HD","0","0","","","","1","AIRLINE TRANSPORT","4051","180","84",""
"20110510008599I","10-MAY-11","MINNEAPOLIS","MN","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","INCIDENT","MINOR","LANDING: APPROACH","BEECH","BE-65","","BEMIDJI AVIATION SERVICES INC","","AIR TAXI/COMMUTER","","5080L","0","0","AMA/EX","UNKNOWN ENG","","2","COMMERCIAL PILOT","4051","766","71",""
"20150313003049I","13-MAR-15","BILLINGS","MT","BILLINGS LOGAN INTL","INCIDENT","MINOR","LANDING: ROLLOUT","NAVION","NAV-G","","","","GENERAL OPERATING RULES","","2408T","0","0","CONT M","IO-550","IO-550","","COMMERCIAL PILOT","4055","1600","3",""
"20140812014259I","12-AUG-14","BENTON","AR","SALINE COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-28","PA-28-180","","","GENERAL OPERATING RULES","","5103S","0","0","LYCOMI","O&VO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4056","","",""
"20161224023749I","24-DEC-16","CREVE COEUR","MO","CREVE COEUR","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","BEECH","BE-95","BE-95-B95","","","GENERAL OPERATING RULES","","3164W","0","0","CONT M","I0-470 SERIES","","","PRIVATE PILOT","4065","","65",""
"20120527008849I","27-MAY-12","WATERFORD","MI","OAKLAND COUNTY INTL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","CE-310","CE-310-F","","","GENERAL OPERATING RULES","","5827X","0","0","CONT M","I0-470 SERIES","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4082","1000","3",""
"20120106001349I","06-JAN-12","NEW SMYRNA BEACH","FL","NEW SMYRNA BEACH MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","320WJ","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4085","1","35",""
"20150908014979I","08-SEP-15","ATLANTIC","IA","ATLANTIC MUNI","INCIDENT","NONE","LANDING: ROLLOUT","EMBRAER","EMB-500","","","","GENERAL OPERATING RULES","","984EP","0","0","P&W CA","PW617F-E","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","4085","136","145",""
"20080711839639I","11-JUL-08","OLATHE","KS","NEW CENTURY AIRCENTER","INCIDENT","MINOR","CLIMB","BEECH","BE-36","BE-36-A36","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","7243E","0","0","CONT","IO520A","O520","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","4089","750","21",""
"20120821025749I","21-AUG-12","ADDISON","TX","ADDISON","INCIDENT","MINOR","TAXI","BEECH","BE-58","BE-58-P","","","GENERAL OPERATING RULES","","22CC","0","0","CONT M","TSIO-520 SER","","2","PRIVATE PILOT","4095","193","6",""
"20080315847589I","15-MAR-08","","OH","LORAIN COUNTY RGNL","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-310","CE-310-L","","","GENERAL OPERATING RULES","UNKNOWN","3257X","0","0","","","","2","PRIVATE PILOT","4100","1700","60",""
"20080414838199I","14-APR-08","MESA","AZ","FALCON FLD","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","ECLIPSE AVIATION","ECLIPSE 500","","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","705PT","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","4100","109","60",""
"20090421005569I","21-APR-09","LAGO VISTA","TX","LAGO VISTA TX - RUSTY ALLEN","INCIDENT","MINOR","LANDING","PIPER","PA-34","PA-34-200T","","","GENERAL OPERATING RULES","UNKNOWN","9528C","0","0","","","","2","PRIVATE PILOT","4100","3950","60",""
"20090516006509I","16-MAY-09","BOSTON","MA","GENERAL EDWARD LAWRENCE LOGAN INTL","INCIDENT","NONE","DESCENT","DE HAVILLAND-BOMBARDIER","DASH 8","400","COLGAN AIR INC","","AIR CARRIER/COMMERCIAL","UNKNOWN","195WQ","0","1","","","","2","AIRLINE TRANSPORT","4100","300","75",""
"20111011024559I","11-OCT-11","STEAMBOAT SPRINGS","CO","STEAMBOAT SPRINGS/BOB ADAMS FIELD","INCIDENT","MINOR","TAKEOFF: DEPARTURE","SOCATA","TBM-700","","","","GENERAL OPERATING RULES","","700GN","0","0","P&W","PT6A SER","64","","COMMERCIAL PILOT","4100","500","100",""
"20120426005919I","26-APR-12","FARMINGTON","NM","FOUR CORNERS RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-210","CE-210-T210L","","","GENERAL OPERATING RULES","","732DM","0","0","CONT M","TSIO-520 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4100","839","24",""
"20130105000509I","05-JAN-13","SOUTH LAKE TAHOE","CA","LAKE TAHOE","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","66LT","0","0","WALTER","601E","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4100","1","94",""
"20130904018299I","04-SEP-13","TULSA","OK","HARVEY YOUNG","INCIDENT","SUBSTANTIAL","TAKEOFF: ROTATION","PIPER","PA-28","PA-28-140","","","GENERAL OPERATING RULES","","5025T","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","4100","200","1",""
"20151223020749I","23-DEC-15","ENGLEWOOD","CO","CENTENNIAL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","GATES","","","INTERNATIONAL JET AVIATION SERVICES INC","","AIR TAXI/COMMUTER","","5572","0","0","HONEYW","TFE-731-SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4100","850","170",""
"20170313009509I","13-MAR-17","CHINO","CA","CHINO","INCIDENT","MINOR","LANDING: TOUCHDOWN","LANCAIR","LEGACY","","","","GENERAL OPERATING RULES","","22YY","0","0","CONT M","IO-550 SERIES","","","PRIVATE PILOT","4100","700","20",""
"20170604013199I","04-JUN-17","ORANGE","MA","ORANGE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-337","CE-337-G","","","GENERAL OPERATING RULES","","53657","0","0","","","","2","PRIVATE PILOT","4100","1380","2",""
"20170621013559I","21-JUN-17","OXNARD","CA","OXNARD","INCIDENT","MINOR","LANDING: TOUCHDOWN","ROCKWELL","","","","","GENERAL OPERATING RULES","","4638W","0","0","LYCOMI","I0360 SER","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4100","800","40",""
"20171020020129I","20-OCT-17","MCALLEN","TX","","INCIDENT","MINOR","LANDING: APPROACH","CANADAIR-BOMBARDIER","CHALLENGER","600","MESA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","242LR","0","0","GE","CF34-8C5","","","COMMERCIAL PILOT","4100","2500","200",""
"20171229023899I","29-DEC-17","SIOUX FALLS","SD","JOE FOSS FIELD","INCIDENT","MINOR","TAXI","SWEARINGEN-FAIRCHILD","SA-227","SA-227-AC","BUSINESS AVIATION COURIER INC","","AIR TAXI/COMMUTER","","3116N","0","0","","","","","AIRLINE TRANSPORT","4100","2500","150",""
"20090622015199I","22-JUN-09","PITTSBURGH","PA","ALLEGHENY COUNTY","INCIDENT","SUBSTANTIAL","TAXI","PIPER","PA-32","PA-32-260","","","GENERAL OPERATING RULES","UNKNOWN","55278","0","0","","","","1","PRIVATE PILOT","4104","3720","12",""
"20170517021739I","17-MAY-17","GRAND PRAIRIE","TX","GRAND PRAIRIE MUNI","INCIDENT","DESTROYED","LANDING: ROLLOUT","BEECH","BE-35","BE-35-D35","","","GENERAL OPERATING RULES","","2904B","0","0","CONT M","E185","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4111","1171","",""
"20160225002109I","25-FEB-16","MANASSAS","VA","MANASSAS RGNL/HARRY P. DAVIS FIELD","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","PIPER","PA-46","PA-46-350P","","","GENERAL OPERATING RULES","","747TH","0","0","P&W CA","PT6-35","","","PRIVATE PILOT","4115","2300","50",""
"20080909844259I","09-SEP-08","EVERETT","WA","PROVIDENCE HOSPITAL","INCIDENT","MINOR","POWER ON VERTICAL LANDING/ROTORCRAFT","AGUSTA","AGUSTA-A109","AGUSTA-A109-E","","","GENERAL OPERATING RULES","UNKNOWN","1UW","0","0","","","","2","","4120","18","80",""
"20100704038179I","04-JUL-10","DAYTON","OH","MORAINE AIR PARK","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","AEROSPATIALE","AS-365","AS-365-N","AIR METHODS CORPORATION","","AIR TAXI/COMMUTER","","520CF","0","0","TURBOM","ARRIEL 2C","","2","COMMERCIAL PILOT","4120","0","21",""
"20101209054339I","09-DEC-10","WINDSOR","NJ","TRENTON-ROBBINSVILLE","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","AEROSPATIALE","AS-355","AS-355-F2","CATALYST AVIATION LLC","","GENERAL OPERATING RULES","","808FX","0","0","ROLLS-","250-C20R","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4120","490","27",""
"20150720022279I","20-JUL-15","PLACERVILLE","CA","PLACERVILLE","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M-20","M-20-J","","","GENERAL OPERATING RULES","","997D","0","0","","","","1","PRIVATE PILOT","4120","87","16",""
"20081126851639I","26-NOV-08","WEST MEMPHIS","AR","WEST MEMPHIS MUNI","INCIDENT","MINOR","LANDING","CESSNA","CE-210","CE-210-N","","","GENERAL OPERATING RULES","UNKNOWN","5439A","0","0","CONT","IO520*","O520","1","PRIVATE PILOT","4121","933","14",""
"20100530035261I","30-MAY-10","OCEANO","CA","OCEANO COUNTY","INCIDENT","MINOR","TAXI","PIPER","PA-11","","","","GENERAL OPERATING RULES","","118CA","0","0","CUBCRA","CC340","RECIPR","","PRIVATE PILOT","4125","9","9",""
"20161111020269I","11-NOV-16","GRESHAM","SC","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CIRRUS","CIRRUS-SR","CIRRUS-SR-22","","","GENERAL OPERATING RULES","","606MF","0","0","CONT M","IO-550-N","500","1","AIRLINE TRANSPORT","4125","15","23",""
"20170206007739I","06-FEB-17","LAS VEGAS","NV","MC CARRAN INTL","INCIDENT","MINOR","DESCENT","EMBRAER","170","200","COMPASS AIRLINES LLC","","AIR CARRIER/COMMERCIAL","","629CZ","0","0","GE","CF34-8E5","","","PRIVATE PILOT FLIGHT INSTRUCTOR","4128","2412","170",""
"20180424004049I","24-APR-18","PUNTA GORDA","FL","PUNTA GORDA","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","CONVAIR-GENERAL DYNAMICS","","","CONQUEST AIR","","GENERAL OPERATING RULES","","343GS","0","0","PRATT-","R-2800-52W","R-2800","","AIRLINE TRANSPORT","4135","2935","220",""
"20100213027459I","13-FEB-10","GEORGETOWN","TX","GEORGETOWN MUNI","INCIDENT","MINOR","RUN-UP AREA","BLANCA","BL-7","BL-7-ECA","","","GENERAL OPERATING RULES","","8359V","0","0","LYCOMI","0-235 SERIES","","1","COMMERCIAL PILOT","4150","350","27",""
